city,state,country,lat,lng
Metlakatla,AK,usa,55.128786,-131.5744824
Prince William Sound,AK,usa,60.6905448,-147.0970548
St. George Island,AK,usa,56.6016274,-169.5480771
Sterling,AK,usa,60.5360118,-150.7943244
Sutton,AK,usa,61.7094477,-148.8774926
Teller,AK,usa,65.2634319,-166.362264
Turnagain Pass,AK,usa,60.8033333,-149.1852778
Alaska (remote),AK,usa,63.588753,-154.4930619
Alaska cruise (Norwegian Star),AK,usa,63.588753,-154.4930619
Anchorage Ak,AK,usa,61.2175758,-149.8996785
Anchorage/Eagle River (between),AK,usa,61.3293186,-149.5680499
Anchorage/Girdwood,AK,usa,60.9543247,-149.1598983
Angoon,AK,usa,57.5004523,-134.582314
Arctic,AK,usa,63.588753,-154.4930619
Bering Sea,AK,usa,63.588753,-154.4930619
Birchwood,AK,usa,61.4052778,-149.4688889
Cantwell (80 miles east of); Clearwater Mtns.,AK,usa,63.2063889,-147.0402778
Clam Gulch,AK,usa,60.2262561,-151.401731
Coffman Cove,AK,usa,56.0122776,-132.8215663
Cold Bay,AK,usa,55.2062621,-162.7174221
College Fjord,AK,usa,61.1095346,-147.9191425
Cook Inlet (at sea),AK,usa,59.3721976,-152.6440034
Copper Center,AK,usa,61.9538719,-145.304892
Council,AK,usa,64.8950156,-163.6766923
Craig (Coffman Cove Road),AK,usa,63.588753,-154.4930619
Deadhorse,AK,usa,70.2001996,-148.4597191
Denali State Park,AK,usa,62.7513889,-150.04
Dillingham,AK,usa,59.0395277,-158.4633056
Douglas Island,AK,usa,58.2639859,-134.5460781
Dutch Harbor,AK,usa,53.8945552,-166.5400929
Eagle River (far east of),AK,usa,61.3293186,-149.5680499
"Eagle River, Alaska",AK,usa,61.3293186,-149.5680499
Eklutna,AK,usa,61.4580556,-149.3622222
Elk,AK,usa,63.588753,-154.4930619
Ester,AK,usa,64.8466565,-147.9730501
Esther,AK,usa,64.8466565,-147.9730501
Fairbanks (20 miles south of),AK,usa,64.8400511,-147.7199756
"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of",AK,usa,64.8400511,-147.7199756
Fort Richardson,AK,usa,61.2537586,-149.6917298
Ft. Richardson,AK,usa,61.2537586,-149.6917298
Girdwood,AK,usa,60.9543247,-149.1598983
Glenallen (Close to),AK,usa,62.1081204,-145.5340116
Gula,AK,usa,63.588753,-154.4930619
Gustavus,AK,usa,58.4126017,-135.7389018
Haines,AK,usa,59.2351471,-135.447332
Healy,AK,usa,63.8697384,-149.0215109
Hooper Bay,AK,usa,61.5280339,-166.1076193
Iliamna,AK,usa,59.7550859,-154.8711331
Inside Passage,AK,usa,54.800685,-131.44043
Irving,AK,usa,32.8140177,-96.9488945
Kaktovik,AK,usa,70.1301349,-143.6205804
Kenai Peninsula,AK,usa,60.0858486,-151.3822641
Ketchikan (area),AK,usa,55.3422222,-131.6461111
Kodiak Island,AK,usa,57.4912463,-153.495022
Kodiak Naval Station,AK,usa,57.79,-152.4072222
Kuparuk,AK,usa,70.4244444,-148.8708332
Lahaina,AK,usa,20.882371,-156.6816195
Mat-Su Valley Area,AK,usa,61.3828294,-150.2507886
Mile 35,AK,usa,63.588753,-154.4930619
"Misty Fjords National Park (near, on island)",AK,usa,35.4164772,-94.1279838
Mountain Village,AK,usa,62.0853556,-163.7292306
Nelchina (near),AK,usa,61.9907007,-146.7743542
Newhalen,AK,usa,59.7248056,-154.8942544
Nikishi,AK,usa,63.588753,-154.4930619
Noatak,AK,usa,67.5692901,-162.9700057
Nome,AK,usa,64.5005909,-165.4086406
North Kenai (Daniels Lake; east end),AK,usa,60.5549114,-151.2597037
North of Pt. Barrow,AK,usa,71.2905556,-156.7886111
Northeast Cape AFS,AK,usa,63.295,-168.6922222
"Northeast Cape AFS, St Lawrence Island,",AK,usa,63.295,-168.6922222
Nulato,AK,usa,64.7207672,-158.1041968
Nunapitchuk,AK,usa,60.8967612,-162.4579756
Palmer (10 miles north of),AK,usa,61.599415,-149.1146333
Pelican,AK,usa,57.9603567,-136.2300465
Perl Island (Private),AK,usa,59.1191486,-151.6881699
Petersburg,AK,usa,56.8124542,-132.9574182
Pleasant Valley,AK,usa,64.8785081,-146.8957878
Point Barrow,AK,usa,71.3875,-156.4811111
Point Mackenzie,AK,usa,61.375885,-150.0292034
Point Makenzie,AK,usa,61.375885,-150.0292034
Point hope,AK,usa,68.3489178,-166.7397323
Port Fidalgo,AK,usa,60.7996832,-146.4744409
Prince of Wales Island,AK,usa,55.7794311,-132.8179953
"Prudhoe Bay, Alaska",AK,usa,70.2268843,-148.400021
Rural Alaska community,AK,usa,63.588753,-154.4930619
Sand Point,AK,usa,55.3404686,-160.4985822
"Savoonga, St. Lawrence Island",AK,usa,63.6938082,-170.4840806
"Sitka (North of, St. John Bay)",AK,usa,57.0532193,-135.3345513
Slana,AK,usa,62.7076324,-143.9745203
Soldatna,AK,usa,60.4863829,-151.0571796
"Susitna Lodge (10 mi. E of, Denali Hwy.)",AK,usa,63.0921879,-147.4757397
Susitna Lodge (10 miles E of; Denali Highway),AK,usa,63.0921879,-147.4757397
Talkeetna,AK,usa,62.3209046,-150.1066221
Talkeetna (Matsue area),AK,usa,62.3209046,-150.1066221
Talkitna,AK,usa,62.3209046,-150.1066221
Tanacross,AK,usa,63.3775739,-143.3574533
Tanana,AK,usa,65.1709277,-152.0887492
Tok (30 miles NW of),AK,usa,63.3359266,-142.9877015
Tracy Arm (near; on cruise ship),AK,usa,57.8569213,-133.5894598
Trapper Creek (10 miles north of),AK,usa,62.3163207,-150.233729
Two Rivers,AK,usa,64.8688059,-147.1660103
Venetie,AK,usa,67.0161143,-146.4195464
Wacker City,AK,usa,55.4102332,-131.7288616
Wainwright,AK,usa,70.6401247,-160.0256801
Ward Cove,AK,usa,55.4087517,-131.7212458
Wasilla - Susitna Delta,AK,usa,61.5573518,-150.5761842
White Mountain,AK,usa,64.6809434,-163.4040253
Yakutat,AK,usa,59.5453393,-139.7268441
bidenhospice,AK,usa,63.588753,-154.4930619
Huntsville,AL,usa,34.7303688,-86.5861037
Birmingham,AL,usa,33.5185892,-86.8103567
Mobile,AL,usa,30.6953657,-88.0398912
Madison,AL,usa,34.6992579,-86.7483318
Dothan,AL,usa,31.2232313,-85.3904888
Montgomery,AL,usa,32.3792233,-86.3077368
Gulf Shores,AL,usa,30.2460361,-87.7008193
Tuscaloosa,AL,usa,33.2098407,-87.5691735
Hoover,AL,usa,33.4053867,-86.8113781
Florence,AL,usa,34.79981,-87.677251
Anniston,AL,usa,33.6598257,-85.8316318
Cullman,AL,usa,34.1748208,-86.8436124
Gadsden,AL,usa,34.014264,-86.0066386
Orange Beach,AL,usa,30.2697033,-87.5867598
Auburn,AL,usa,32.6098566,-85.4807825
Fort Payne,AL,usa,34.4442547,-85.7196893
Athens,AL,usa,34.8028661,-86.9716741
Daphne,AL,usa,30.6035255,-87.9036047
Foley,AL,usa,30.4065868,-87.6835974
Gardendale,AL,usa,33.6601033,-86.8127702
Phenix City,AL,usa,32.4709761,-85.0007653
Alabaster,AL,usa,33.2442813,-86.8163773
Decatur,AL,usa,34.6059253,-86.9833417
Enterprise,AL,usa,31.3151708,-85.8552161
Fairhope,AL,usa,30.5229719,-87.9033261
Guntersville,AL,usa,34.3581473,-86.2947041
Helena,AL,usa,33.296224,-86.8436004
Jacksonville,AL,usa,33.8137125,-85.7613536
Boaz,AL,usa,34.2031662,-86.1520969
Chelsea,AL,usa,33.3401108,-86.6302625
Dauphin Island,AL,usa,30.2542565,-88.1124155
Hamilton,AL,usa,34.1423235,-87.9886438
Irvington,AL,usa,30.5072344,-88.2242084
Jasper,AL,usa,33.8312185,-87.2775053
Moundville,AL,usa,32.9976242,-87.6300075
Toney,AL,usa,34.8983333,-86.7333446
Valley,AL,usa,32.8187406,-85.1793852
Bessemer,AL,usa,33.4017766,-86.954437
Fort Morgan,AL,usa,30.225576,-88.018932
Grand Bay,AL,usa,30.4763084,-88.3422303
Hartselle,AL,usa,34.4434282,-86.9352842
Muscle Shoals,AL,usa,34.7448112,-87.6675292
Opp,AL,usa,31.2826685,-86.2555067
Oxford,AL,usa,33.6142714,-85.8349648
Spanish Fort,AL,usa,30.6685159,-87.9108534
Theodore,AL,usa,30.5549276,-88.17925
Trussville,AL,usa,33.6198251,-86.6088756
Citronelle,AL,usa,,
Hanceville,AL,usa,34.0606545,-86.767498
Homewood,AL,usa,33.4717732,-86.8008228
Hueytown,AL,usa,33.4512197,-86.9966606
Montevallo,AL,usa,33.1006746,-86.8641558
Oneonta,AL,usa,33.9481537,-86.472764
Pell City,AL,usa,33.5862149,-86.2860888
Prattville,AL,usa,32.4640245,-86.4596966
Warrior,AL,usa,33.8142682,-86.8094394
Wetumpka,AL,usa,32.5437448,-86.2119127
Ardmore,AL,usa,34.9840722,-86.8396032
Ashville,AL,usa,33.8370433,-86.2544223
Attalla,AL,usa,34.0217639,-86.0885852
Clanton,AL,usa,32.8387371,-86.6294262
Cordova,AL,usa,33.7598291,-87.1833349
Dora,AL,usa,33.728717,-87.0902772
Fyffe,AL,usa,34.446755,-85.9041395
Gurley,AL,usa,34.7017558,-86.3758201
Harvest,AL,usa,34.8556441,-86.7508323
Hazel Green,AL,usa,34.9323102,-86.5719383
Heflin,AL,usa,33.6444926,-85.5842385
Lanett,AL,usa,32.8687391,-85.1904971
Ozark,AL,usa,31.459017,-85.640289
Robertsdale,AL,usa,30.5457158,-87.7084037
Rogersville,AL,usa,34.8256425,-87.2947417
Sylacauga,AL,usa,33.1731716,-86.2516406
Woodville,AL,usa,34.6278654,-86.2744285
Adamsville,AL,usa,33.6009389,-86.9561059
Albertville,AL,usa,34.2675937,-86.2088669
Altoona,AL,usa,34.0262082,-86.3260923
Andalusia,AL,usa,31.3085039,-86.4832913
Atmore,AL,usa,31.0237921,-87.4938708
Calera,AL,usa,33.1028965,-86.7535975
Columbia,AL,usa,31.2926762,-85.1115965
Deatsville,AL,usa,32.6081874,-86.3958071
Eastaboga,AL,usa,33.6070215,-86.0187907
Elberta,AL,usa,30.4143646,-87.5977615
Elkmont,AL,usa,34.9289743,-86.9738959
Eufaula,AL,usa,31.8912717,-85.1454876
Gordo,AL,usa,33.3201178,-87.9027962
Grant,AL,usa,34.5286985,-86.2533163
Headland,AL,usa,31.351284,-85.3421559
Lincoln,AL,usa,33.6131588,-86.1183061
Millbrook,AL,usa,32.4798575,-86.3619163
Morris,AL,usa,33.7481576,-86.8086048
Mountain Brook,AL,usa,33.5009384,-86.7522107
Northport,AL,usa,33.229007,-87.5772293
Opelika,AL,usa,32.6454116,-85.3782795
Pelham,AL,usa,33.2856687,-86.8099885
Phenix city,AL,usa,32.4709761,-85.0007653
Rainbow City,AL,usa,33.9548201,-86.0419169
Ranburne,AL,usa,33.5228885,-85.3446728
Saraland,AL,usa,30.820742,-88.0705556
Satsuma,AL,usa,30.853241,-88.0561106
Scottsboro,AL,usa,34.6723069,-86.0341463
Semmes,AL,usa,30.7786677,-88.2588731
Somerville,AL,usa,34.4731491,-86.798612
Southside,AL,usa,33.9245425,-86.0224718
Talladega,AL,usa,33.4359416,-86.1058048
Tuscumbia,AL,usa,34.7312005,-87.70253
Union Grove,AL,usa,34.4017589,-86.4491538
Vance,AL,usa,33.1742847,-87.2336092
Wagarville,AL,usa,31.4362772,-88.0283357
Wedowee,AL,usa,33.3090047,-85.484675
Alabama (rural),AL,usa,33.6530112,-86.3376761
Arab,AL,usa,34.3181497,-86.4958219
Arley,AL,usa,34.0789929,-87.2122325
Bay Minette,AL,usa,30.8829628,-87.7730474
Bear Creek,AL,usa,34.2748197,-87.7005833
Brantley,AL,usa,31.5823832,-86.2571786
Brent,AL,usa,32.9373463,-87.1647184
Brookwood,AL,usa,33.2556719,-87.3208336
Carbon Hill,AL,usa,33.8917742,-87.5261236
Centre,AL,usa,34.1520406,-85.6788531
Cherokee,AL,usa,34.7570342,-87.9728143
Chickasaw,AL,usa,30.7637991,-88.0747222
Chunchula,AL,usa,30.9218505,-88.2005597
Clio,AL,usa,31.7087753,-85.6104972
Collinsville,AL,usa,34.2639821,-85.8605251
Cropwell,AL,usa,33.5523269,-86.2691438
Danville,AL,usa,34.4145408,-87.087512
Elba,AL,usa,31.4146108,-86.0677243
Elmore,AL,usa,32.5387448,-86.3149712
Gaylesville,AL,usa,34.268426,-85.5569057
Glencoe,AL,usa,33.957043,-85.9324698
Hokes Bluff,AL,usa,33.9981546,-85.8663574
Holly Pond,AL,usa,34.1742634,-86.616382
Leeds,AL,usa,33.5481597,-86.5444288
Lisman,AL,usa,32.1687554,-88.2825251
Littleville,AL,usa,34.5906483,-87.6769745
Maylene,AL,usa,33.2034492,-86.861656
McCalla,AL,usa,33.345078,-87.0140057
McKenzie,AL,usa,31.542384,-86.7149699
Muscadine,AL,usa,33.7345495,-85.3860654
New Hope,AL,usa,34.5370339,-86.3944307
Newton,AL,usa,31.3351716,-85.6052133
Ohatchee,AL,usa,33.7834324,-86.0024703
Pinson,AL,usa,33.6889908,-86.6833228
Rockford,AL,usa,32.8895681,-86.2196936
Salem,AL,usa,32.5968028,-85.2385527
Section,AL,usa,34.5789747,-85.986644
Selma,AL,usa,32.4073589,-87.0211007
Sheffield,AL,usa,34.7650887,-87.6986407
Shelby,AL,usa,33.1086539,-86.5835907
Silverhill,AL,usa,30.5454715,-87.7516559
Tarrant (Robinwood),AL,usa,33.6151033,-86.7488791
Troy,AL,usa,31.8087678,-85.969951
Vestavia,AL,usa,33.4487183,-86.7877668
Vestavia Hills,AL,usa,33.4487183,-86.7877668
Vicksburg,AL,usa,32.3526456,-90.877882
Vincent,AL,usa,33.3845537,-86.411924
Waverly,AL,usa,32.735408,-85.5791191
Wellington,AL,usa,33.8225999,-85.8927457
Weogufka,AL,usa,33.0167076,-86.3121433
?,AL,usa,32.3182314,-86.902298
Addison,AL,usa,34.2023243,-87.1814012
After Asheville headed towards springville,AL,usa,33.8370433,-86.2544223
Akron,AL,usa,32.8765165,-87.7425105
Alabama,AL,usa,33.6530112,-86.3376761
Alabama (above; in flight),AL,usa,33.6530112,-86.3376761
Alabama (location unspecified),AL,usa,33.6530112,-86.3376761
Aliceville,AL,usa,33.1295681,-88.1514166
Aliceville/Carrolton/Livingston,AL,usa,32.5843025,-88.1872475
Anniston (Ft. McClellan U.S. Army base),AL,usa,33.7230772,-85.7797442
Ardmore (near),AL,usa,34.9840722,-86.8396032
Athens (Hwy 72 W),AL,usa,34.7547769,-86.7359541
Athens-East Limestone,AL,usa,34.781759,-86.93095
Attalla/Gadsden,AL,usa,34.0217639,-86.0885852
Auburn/Montgomery (between),AL,usa,32.3695951,-86.1788341
Axis,AL,usa,30.9297926,-88.0272647
BIRMINGHAM,AL,usa,33.5185892,-86.8103567
Baileyton,AL,usa,34.2623179,-86.6127712
Baldwin County,AL,usa,30.6010744,-87.7763333
Banks (outside of),AL,usa,32.3182314,-86.902298
Bay Minnette,AL,usa,30.8829628,-87.7730474
Belgreen,AL,usa,34.474602,-87.8658449
Bessemer (near),AL,usa,33.4017766,-86.954437
"Between faster,AL and Tuscaloosa, AL",AL,usa,33.2098407,-87.5691735
Billingsley,AL,usa,32.6595749,-86.717761
Birmingham (Huffman/Centerpoint),AL,usa,33.6232716,-86.6877334
Birmingham (NE of),AL,usa,33.5185892,-86.8103567
"Birmingham (Wisteria Dr., .5 mi down)",AL,usa,33.4073407,-86.7916761
Birmingham (just south of),AL,usa,33.5185892,-86.8103567
Birmingham (outside Hueytown),AL,usa,33.4512197,-86.9966606
Blountsville,AL,usa,34.0814863,-86.5911026
Boilgee,AL,usa,32.7559654,-88.0289072
Boldo,AL,usa,33.8538534,-87.1824025
Borden Springs,AL,usa,33.9298233,-85.470235
Bradford,AL,usa,33.7520454,-86.7038799
Bremen,AL,usa,33.9943281,-86.9692136
Brewton,AL,usa,31.1051779,-87.0721918
Bridgeport,AL,usa,34.9475807,-85.7144155
Brierfield,AL,usa,33.0390099,-86.908879
Brook Highland,AL,usa,33.4301076,-86.6805421
Brookside,AL,usa,33.6378825,-86.9166611
Brundidge,AL,usa,31.7201615,-85.8160567
CALERA,AL,usa,33.1028965,-86.7535975
Calera (out-skirts),AL,usa,33.1028965,-86.7535975
Calera (outskirts of),AL,usa,33.1028965,-86.7535975
Cedar Bluff,AL,usa,34.2200942,-85.6077402
Centreville/Selma (area on state road 219 between),AL,usa,32.3182314,-86.902298
Chalybeate Springs,AL,usa,34.565093,-87.2266849
Chambers County (area of Al-Ga line),AL,usa,32.9028048,-85.354965
Cheaha Mountain,AL,usa,33.4856641,-85.8091297
Clay,AL,usa,33.7026013,-86.5997096
Clements,AL,usa,32.3182314,-86.902298
Coffeville,AL,usa,31.7579353,-88.0897308
Coker,AL,usa,33.2459512,-87.6877882
Colbert Heights,AL,usa,34.6609244,-87.6944746
"Cold Bluff, Alabama",AL,usa,33.8206623,-87.9064128
Cold Springs (Bugtussel),AL,usa,33.9817697,-87.0333373
Coldwater,AL,usa,33.5862158,-85.9183001
Colombiana,AL,usa,33.1781718,-86.6072054
Columbus City,AL,usa,34.460644,-86.233315
Coosada,AL,usa,32.4979127,-86.3313602
Corner,AL,usa,33.800381,-86.9422201
Cottonwood,AL,usa,31.0487933,-85.3049326
Crane Hill,AL,usa,34.093991,-87.0630624
Crossville,AL,usa,34.2875925,-85.99414
Cusseta,AL,usa,32.7848521,-85.3057779
Cusseta & Fairfax,AL,usa,32.3061354,-84.7770485
Dadeville,AL,usa,32.831238,-85.7635692
Dakeville,AL,usa,31.3101719,-85.7129908
Dauphin Island (off the coast of),AL,usa,30.2542565,-88.1124155
Dawson,AL,usa,34.303981,-85.9260828
Deer Park,AL,usa,31.2169307,-88.3145093
Delta,AL,usa,33.4401108,-85.690515
Demopolis,AL,usa,32.5176361,-87.836402
Dothan (general area),AL,usa,31.2232313,-85.3904888
Double Springs,AL,usa,34.1464916,-87.4022386
Dutton,AL,usa,34.6109183,-85.91692
East Limestone,AL,usa,34.7809229,-86.8327797
Eastaboba,AL,usa,33.6070215,-86.0187907
Eldridge,AL,usa,33.9228835,-87.6172389
Elkmomt,AL,usa,34.9289743,-86.9738959
Eufaula (close to),AL,usa,31.8912717,-85.1454876
Fairview,AL,usa,34.2553741,-86.6880519
Falkville,AL,usa,34.3684295,-86.908616
Flat Rock,AL,usa,34.7698032,-85.6944152
Fllorence,AL,usa,34.79981,-87.677251
Flomaton,AL,usa,31.000182,-87.260807
Florala,AL,usa,31.00518,-86.3280018
Florala (??),AL,usa,31.00518,-86.3280018
Florala ?,AL,usa,31.00518,-86.3280018
Foely,AL,usa,30.4065868,-87.6835974
Foley/Elberta,AL,usa,30.4143646,-87.5977615
Fort Rucker,AL,usa,31.3400515,-85.7153754
Fort. Deposit,AL,usa,31.9845929,-86.5785856
Fowl River,AL,usa,30.4624189,-88.16889
Frankfort,AL,usa,34.5634272,-87.8422568
Franklin County,AL,usa,34.3967457,-87.6186379
Fredonia,AL,usa,32.989574,-85.288094
Fultondale,AL,usa,33.6102837,-86.7967857
Gadsden (south side of),AL,usa,34.014264,-86.0066386
Geraldine,AL,usa,34.3514798,-86.0008078
Grandbay,AL,usa,30.4763084,-88.3422303
Grants,AL,usa,34.5286985,-86.2533163
Greendale,AL,usa,33.6601033,-86.8127702
Greenville,AL,usa,31.8295972,-86.6177517
Grove Hill,AL,usa,31.7087681,-87.7772218
Gulf  Shores,AL,usa,30.2460361,-87.7008193
Gulf shores,AL,usa,30.2460361,-87.7008193
Gunteersville,AL,usa,34.3581473,-86.2947041
Hackleburg,AL,usa,34.27732,-87.8286423
Haleyville,AL,usa,34.226488,-87.6214133
Harpersville,AL,usa,33.3439995,-86.4380357
Hartford,AL,usa,31.1023998,-85.6968778
Hayden,AL,usa,33.8926003,-86.757773
Hayneville,AL,usa,32.1840315,-86.5802533
Hazel green,AL,usa,34.9323102,-86.5719383
Heflin  (Talladega National Forest at Oak Level),AL,usa,33.5083153,-85.7850599
Hillsboro,AL,usa,34.639258,-87.1916834
Hollywood,AL,usa,34.72425,-85.9724787
Hoover (Bluff Park),AL,usa,33.4014982,-86.8561014
Hoover/Bluff Park,AL,usa,33.4014982,-86.8561014
Hunstville,AL,usa,34.7303688,-86.5861037
Huntsvile,AL,usa,34.7303688,-86.5861037
Huntsville (Owens Cross Roads),AL,usa,34.5881461,-86.4588768
Huntsville (Redstone Arsenal),AL,usa,34.6950842,-86.6510329
Huntsville Alabama,AL,usa,34.7303688,-86.5861037
Hurtsboro,AL,usa,32.2418146,-85.4163327
Indian Springs,AL,usa,33.3595143,-86.7491802
Interstate 65 (Alabama/Tennessee),AL,usa,33.0118929,-86.7112735
Interstate 65 (between AL and TN),AL,usa,36.1602597,-86.7928871
Irondale,AL,usa,33.5381601,-86.7072102
Jackson,AL,usa,31.5090521,-87.8944435
Jemison,AL,usa,32.9598451,-86.7466522
Jones,AL,usa,32.5840214,-86.8974877
Kellyton,AL,usa,32.9798441,-86.033578
Kentucky,AL,usa,32.3182314,-86.902298
Killen,AL,usa,34.8628637,-87.5375253
Kimberly,AL,usa,33.7734352,-86.8138832
Lacy Springs,AL,usa,34.5362028,-86.5888811
Lake Martin,AL,usa,32.7261974,-85.9457837
Lapine,AL,usa,31.9671661,-86.2842749
Lawley,AL,usa,32.8595702,-86.9513796
Leeds (outside Birmingham),AL,usa,33.5481597,-86.5444288
Leesburg,AL,usa,34.1798177,-85.7613554
Leighton,AL,usa,34.700923,-87.5289151
Leighton (La Grange Mountain),AL,usa,34.650091,-87.575583
Livingston,AL,usa,32.5843025,-88.1872475
Locust Fork,AL,usa,33.9075992,-86.6152685
Loxley,AL,usa,30.6182476,-87.7530454
Luverne,AL,usa,31.7165455,-86.2638492
Luverne (near),AL,usa,31.7165455,-86.2638492
Lynn,AL,usa,34.0470483,-87.54974
Madison/east Limestone,AL,usa,34.7809229,-86.8327797
Maplesville,AL,usa,32.7884608,-86.8716549
Marion,AL,usa,32.6323536,-87.3191655
Marion County,AL,usa,34.0441174,-87.7763333
Maycomb,AL,usa,31.5279399,-87.3247077
Melbourne,AL,usa,32.3182314,-86.902298
Mentone,AL,usa,34.5795282,-85.5905204
Millry,AL,usa,31.6340496,-88.3133487
Mobile Bay,AL,usa,30.4434341,-87.9922684
Monroeville,AL,usa,31.5279399,-87.3247077
Monrovia,AL,usa,34.786479,-86.7138863
Montgomery (50 miles west of; inflight),AL,usa,32.3792233,-86.3077368
Montgomery (near),AL,usa,32.3792233,-86.3077368
Montgomery/Millbrook,AL,usa,32.4798575,-86.3619163
Moody,AL,usa,33.5909365,-86.4908168
Morgan City,AL,usa,34.4720365,-86.5697136
Moulton,AL,usa,34.4812062,-87.2933533
Mount Olive,AL,usa,33.6709369,-86.8561047
Mountainboro,AL,usa,34.1470397,-86.1305311
Mulga,AL,usa,33.5498286,-86.9741612
Nanafalia,AL,usa,32.1129549,-87.9880248
New Brockton,AL,usa,31.3857239,-85.9293861
New Market,AL,usa,34.9100883,-86.4277677
Nixburg,AL,usa,32.8279036,-86.1110786
North Atlantic Ocean,AL,usa,32.3182314,-86.902298
North Mobile County,AL,usa,30.9577693,-88.0848541
Odenville,AL,usa,33.6773237,-86.396648
Old AL Hwy. 35 (between MM 8-10),AL,usa,34.5118099,-85.8798255
Owens Cross Rds,AL,usa,34.5881461,-86.4588768
Owens Cross Roads,AL,usa,34.5881461,-86.4588768
Panama City,AL,usa,30.1588129,-85.6602058
Parrish Alabama,AL,usa,33.7306642,-87.2844473
Peidmont,AL,usa,33.9245454,-85.6113501
Pelham (Valleydale exit getting onto I-65 N),AL,usa,33.0118929,-86.7112735
"Pell City (33.56' 52""N - 86.15' 00"" W)",AL,usa,33.5862149,-86.2860888
Perdue Hill,AL,usa,31.516495,-87.4964157
Petersville,AL,usa,34.8553645,-87.691695
"Phenix City & Columbus,Ga",AL,usa,32.4709761,-85.0007653
Phil Campbell,AL,usa,34.3509298,-87.706418
Phoenix City,AL,usa,32.4709761,-85.0007653
Piedmont,AL,usa,33.9245454,-85.6113501
Pike Road,AL,usa,32.2751421,-86.1454525
Pike rd,AL,usa,32.2751421,-86.1454525
Pine Hill,AL,usa,31.9795943,-87.5880561
Pine Level,AL,usa,32.581741,-86.466629
Pineywoods/Sipsey area,AL,usa,33.8678682,-87.1081812
Rainbow,AL,usa,33.9548201,-86.0419169
Rainsville,AL,usa,34.4942536,-85.8477494
Red Hill,AL,usa,34.2588214,-86.4228581
Rehobeth,AL,usa,31.1229561,-85.4527113
Remlap,AL,usa,33.8167666,-86.6008222
Repton,AL,usa,31.4090551,-87.2391473
Rock Creek,AL,usa,33.4770532,-87.0802735
Rock Ledge,AL,usa,34.0892628,-86.1127527
Ross Bridge,AL,usa,33.3985025,-86.8836526
Russellville,AL,usa,34.5078726,-87.7286431
Samson,AL,usa,31.1129539,-86.0460518
Sand Rock,AL,usa,34.2428717,-85.768578
Sandrock,AL,usa,34.2428717,-85.768578
Saraland/Mobile,AL,usa,30.820742,-88.0705556
Seminole,AL,usa,30.5151954,-87.4738692
Shelby (Lay Lake),AL,usa,33.1166043,-86.4819637
Shelby County airport (@231 mile marker),AL,usa,33.1783035,-86.7830228
Silas,AL,usa,31.7654349,-88.3291841
Silverhill (SE of),AL,usa,30.5454715,-87.7516559
Silverhilll,AL,usa,30.5454715,-87.7516559
Sipsey,AL,usa,33.8248272,-87.0861125
Skipperville,AL,usa,31.5576671,-85.5454941
Slocomb,AL,usa,31.1082335,-85.594378
Smiths,AL,usa,32.5401393,-85.0985473
Smiths Station,AL,usa,32.5401393,-85.0985473
Southside (Gadsden),AL,usa,34.0039047,-86.0054875
Springville,AL,usa,33.7750997,-86.4716512
